created_at,favorite_count,full_text,lang,retweet_count,username,cleaned_text,case_folded,tokens,filtered_tokens
Sat May 10 16:10:08 +0000 2025,9190, kdm ️ resident playbook ️ pict atas minta pegangan tangan pict bawah minta disuapin ga nyangka seorang gu dowon bisa begini kalo lg bucin https://t.co/WDnO3wYHMx,in,1044,kdrama_menfess,kdm resident playbook pict atas minta pegangan tangan pict bawah minta disuapin ga nyangka seorang gu dowon bisa begini kalo lg bucin,kdm resident playbook pict atas minta pegangan tangan pict bawah minta disuapin ga nyangka seorang gu dowon bisa begini kalo lg bucin,"['kdm', 'resident', 'playbook', 'pict', 'atas', 'minta', 'pegangan', 'tangan', 'pict', 'bawah', 'minta', 'disuapin', 'ga', 'nyangka', 'seorang', 'gu', 'dowon', 'bisa', 'begini', 'kalo', 'lg', 'bucin']","['kdm', 'resident', 'playbook', 'pict', 'pegangan', 'tangan', 'pict', 'disuapin', 'ga', 'nyangka', 'gu', 'dowon', 'kalo', 'lg', 'bucin']"
Sat May 10 00:10:48 +0000 2025,19038,Jualan tapi julidin customer tu maksudnya gimana? Rezeki lu tu dari customer lu yang lagi bucin itu. https://t.co/YbhxxjsZ7l,in,1319,Maeliani07,Jualan tapi julidin customer tu maksudnya gimana Rezeki lu tu dari customer lu yang lagi bucin itu,jualan tapi julidin customer tu maksudnya gimana rezeki lu tu dari customer lu yang lagi bucin itu,"['jualan', 'tapi', 'julidin', 'customer', 'tu', 'maksudnya', 'gimana', 'rezeki', 'lu', 'tu', 'dari', 'customer', 'lu', 'yang', 'lagi', 'bucin', 'itu']","['jualan', 'julidin', 'customer', 'tu', 'maksudnya', 'gimana', 'rezeki', 'lu', 'tu', 'customer', 'lu', 'bucin']"
Sun May 11 10:44:13 +0000 2025,4,Ini pas awal vidio Yeye kaya nyandar di bahu Kyukyu terus pas ganti kamera depan langsung bangun si Yeye aduuuhh ginì banget dah aku ini nyari moment #Kyusung https://t.co/q8hgoDeuGr,in,1,BeUrCLOUDS,Ini pas awal vidio Yeye kaya nyandar di bahu Kyukyu terus pas ganti kamera depan langsung bangun si Yeye aduuuhh gin banget dah aku ini nyari moment,ini pas awal vidio yeye kaya nyandar di bahu kyukyu terus pas ganti kamera depan langsung bangun si yeye aduuuhh gin banget dah aku ini nyari moment,"['ini', 'pas', 'awal', 'vidio', 'yeye', 'kaya', 'nyandar', 'di', 'bahu', 'kyukyu', 'terus', 'pas', 'ganti', 'kamera', 'depan', 'langsung', 'bangun', 'si', 'yeye', 'aduuuhh', 'gin', 'banget', 'dah', 'aku', 'ini', 'nyari', 'moment']","['pas', 'vidio', 'yeye', 'kaya', 'nyandar', 'bahu', 'kyukyu', 'pas', 'ganti', 'kamera', 'langsung', 'bangun', 'si', 'yeye', 'aduuuhh', 'gin', 'banget', 'dah', 'nyari', 'moment']"
Sun May 11 03:59:24 +0000 2025,2128, kdm resident playbook Ini tuh dowon yiyoung pegangan tangan anjrit BUCIN BAT LU BERDUAAA dahlah suap suapan sambil pegangan tangan pulak inimah kecintaan penonton kalah sama kebucinan kalian https://t.co/4IROhtB4hM,in,198,kdrama_menfess,kdm resident playbook Ini tuh dowon yiyoung pegangan tangan anjrit BUCIN BAT LU BERDUAAA dahlah suap suapan sambil pegangan tangan pulak inimah kecintaan penonton kalah sama kebucinan kalian,kdm resident playbook ini tuh dowon yiyoung pegangan tangan anjrit bucin bat lu berduaaa dahlah suap suapan sambil pegangan tangan pulak inimah kecintaan penonton kalah sama kebucinan kalian,"['kdm', 'resident', 'playbook', 'ini', 'tuh', 'dowon', 'yiyoung', 'pegangan', 'tangan', 'anjrit', 'bucin', 'bat', 'lu', 'berduaaa', 'dahlah', 'suap', 'suapan', 'sambil', 'pegangan', 'tangan', 'pulak', 'inimah', 'kecintaan', 'penonton', 'kalah', 'sama', 'kebucinan', 'kalian']","['kdm', 'resident', 'playbook', 'tuh', 'dowon', 'yiyoung', 'pegangan', 'tangan', 'anjrit', 'bucin', 'bat', 'lu', 'berduaaa', 'dahlah', 'suap', 'suapan', 'pegangan', 'tangan', 'pulak', 'inimah', 'kecintaan', 'penonton', 'kalah', 'kebucinan']"
Sun May 11 10:38:47 +0000 2025,438,Bu lena liat kelakuan bucin adiknya AQEELA TERHARRY HARRY #HQ_AGZEPS160 #WELOVEHARQEEL https://t.co/1N4HQapS3F,in,69,staraquars,Bu lena liat kelakuan bucin adiknya AQEELA TERHARRY HARRY,bu lena liat kelakuan bucin adiknya aqeela terharry harry,"['bu', 'lena', 'liat', 'kelakuan', 'bucin', 'adiknya', 'aqeela', 'terharry', 'harry']","['bu', 'lena', 'liat', 'kelakuan', 'bucin', 'adiknya', 'aqeela', 'terharry', 'harry']"
Sun May 11 09:49:45 +0000 2025,482,teriak doang di permasalahin kan punya suara kan kita punya hak buat berpendapat. yaudah kalo mereka teriak si? kan ga cuman ada kapal lo disana ada moqeel juga di panggung. kalo gue nonton langsung gue jg bakal teriak kaya gitu sampe suara gue habis,in,90,redhorse44,teriak doang di permasalahin kan punya suara kan kita punya hak buat berpendapat yaudah kalo mereka teriak si kan ga cuman ada kapal lo disana ada moqeel juga di panggung kalo gue nonton langsung gue jg bakal teriak kaya gitu sampe suara gue habis,teriak doang di permasalahin kan punya suara kan kita punya hak buat berpendapat yaudah kalo mereka teriak si kan ga cuman ada kapal lo disana ada moqeel juga di panggung kalo gue nonton langsung gue jg bakal teriak kaya gitu sampe suara gue habis,"['teriak', 'doang', 'di', 'permasalahin', 'kan', 'punya', 'suara', 'kan', 'kita', 'punya', 'hak', 'buat', 'berpendapat', 'yaudah', 'kalo', 'mereka', 'teriak', 'si', 'kan', 'ga', 'cuman', 'ada', 'kapal', 'lo', 'disana', 'ada', 'moqeel', 'juga', 'di', 'panggung', 'kalo', 'gue', 'nonton', 'langsung', 'gue', 'jg', 'bakal', 'teriak', 'kaya', 'gitu', 'sampe', 'suara', 'gue', 'habis']","['teriak', 'doang', 'permasalahin', 'suara', 'hak', 'berpendapat', 'yaudah', 'kalo', 'teriak', 'si', 'ga', 'cuman', 'kapal', 'lo', 'disana', 'moqeel', 'panggung', 'kalo', 'gue', 'nonton', 'langsung', 'gue', 'jg', 'teriak', 'kaya', 'gitu', 'sampe', 'suara', 'gue', 'habis']"
Sat May 10 03:59:08 +0000 2025,13,First Crack Coffee beneran enak wajib coba sekalian napak tilas JHOPE di Indo. Ini 2024 pas lagi ngerjain tugas les mandarin dan pacarku lg kerja https://t.co/G5lVgcqGYz,in,2,bucinLDR,First Crack Coffee beneran enak wajib coba sekalian napak tilas JHOPE di Indo Ini pas lagi ngerjain tugas les mandarin dan pacarku lg kerja,first crack coffee beneran enak wajib coba sekalian napak tilas jhope di indo ini pas lagi ngerjain tugas les mandarin dan pacarku lg kerja,"['first', 'crack', 'coffee', 'beneran', 'enak', 'wajib', 'coba', 'sekalian', 'napak', 'tilas', 'jhope', 'di', 'indo', 'ini', 'pas', 'lagi', 'ngerjain', 'tugas', 'les', 'mandarin', 'dan', 'pacarku', 'lg', 'kerja']","['first', 'crack', 'coffee', 'beneran', 'enak', 'wajib', 'coba', 'napak', 'tilas', 'jhope', 'indo', 'pas', 'ngerjain', 'tugas', 'les', 'mandarin', 'pacarku', 'lg', 'kerja']"
Sat May 03 12:38:59 +0000 2025,13,Bisa dipastikan korban pertama jojang nya sieun adalah geum seongje sieun ekspresi kayak zombie aja dia udah bucin https://t.co/3OqnCBflku,in,3,cottongummmy,Bisa dipastikan korban pertama jojang nya sieun adalah geum seongje sieun ekspresi kayak zombie aja dia udah bucin,bisa dipastikan korban pertama jojang nya sieun adalah geum seongje sieun ekspresi kayak zombie aja dia udah bucin,"['bisa', 'dipastikan', 'korban', 'pertama', 'jojang', 'nya', 'sieun', 'adalah', 'geum', 'seongje', 'sieun', 'ekspresi', 'kayak', 'zombie', 'aja', 'dia', 'udah', 'bucin']","['korban', 'jojang', 'sieun', 'geum', 'seongje', 'sieun', 'ekspresi', 'kayak', 'zombie', 'aja', 'udah', 'bucin']"
Sun May 11 10:34:53 +0000 2025,3,Niat ingsun mboten bucin dumateng Indah Cahya namung ningali sing ngeten niki kok ati kulo mboten kiat nuwun sewu @C_IndahJKT48 izinkan saya semakin mencintaimu https://t.co/TRYksOdgBs,in,0,denoxind,Niat ingsun mboten bucin dumateng Indah Cahya namung ningali sing ngeten niki kok ati kulo mboten kiat nuwun sewu izinkan saya semakin mencintaimu,niat ingsun mboten bucin dumateng indah cahya namung ningali sing ngeten niki kok ati kulo mboten kiat nuwun sewu izinkan saya semakin mencintaimu,"['niat', 'ingsun', 'mboten', 'bucin', 'dumateng', 'indah', 'cahya', 'namung', 'ningali', 'sing', 'ngeten', 'niki', 'kok', 'ati', 'kulo', 'mboten', 'kiat', 'nuwun', 'sewu', 'izinkan', 'saya', 'semakin', 'mencintaimu']","['niat', 'ingsun', 'mboten', 'bucin', 'dumateng', 'indah', 'cahya', 'namung', 'ningali', 'sing', 'ngeten', 'niki', 'ati', 'kulo', 'mboten', 'kiat', 'nuwun', 'sewu', 'izinkan', 'mencintaimu']"
Thu May 08 02:36:27 +0000 2025,5443,terlalu bucin artinya kurang sibuk? my main job adalah mencintaimu,in,1650,xximbecile2,terlalu bucin artinya kurang sibuk my main job adalah mencintaimu,terlalu bucin artinya kurang sibuk my main job adalah mencintaimu,"['terlalu', 'bucin', 'artinya', 'kurang', 'sibuk', 'my', 'main', 'job', 'adalah', 'mencintaimu']","['bucin', 'sibuk', 'main', 'job', 'mencintaimu']"
